repetition,generation,diversity
0,0,0.9895654314357306
0,1,0.9743913354815615
0,2,0.9408476548514156
0,3,0.8995593895452915
0,4,0.8851850608664495
0,5,0.8415617167919823
0,6,0.8076633548156097
0,7,0.7879582885785926
0,8,0.7770217955603267
0,9,0.7725695936269245
0,10,0.7714334944504098
0,11,0.7561222252058738
0,12,0.7269882295023287
0,13,0.6922916666666672
0,14,0.6510783655567495
0,15,0.5826678302900098
0,16,0.506386949516649
0,17,0.45507541174364213
0,18,0.41613296634443214
0,19,0.3997625760830622
0,20,0.3754332259219477
0,21,0.32326463480128637
0,22,0.28871732903687947
0,23,0.23853271571786674
0,24,0.23952873254565052
0,25,0.23305898675259665
0,26,0.22499060150375988
0,27,0.20599624060150482
0,28,0.19359022556390912
0,29,0.18016492123165012
0,30,0.18116518976011464
1,0,0.9895725921947782
1,1,0.9679638829215962
1,2,0.9298212047977115
1,3,0.8970560329394918
1,4,0.8896909684926579
1,5,0.873179600787687
1,6,0.8489845148585802
1,7,0.8316172126745442
1,8,0.8038468940207676
1,9,0.7623634980307917
1,10,0.740737781954888
1,11,0.7406120211242377
1,12,0.6712086018617978
1,13,0.5778423737916207
1,14,0.44354300930898677
1,15,0.30496262978875854
1,16,0.2643801467955607
1,17,0.22650599713569652
1,18,0.21808986752595738
1,19,0.2366962047977095
1,20,0.19916196741854678
1,21,0.2009219477264584
1,22,0.20180361618331522
1,23,0.19109693877550935
1,24,0.19909886322950232
1,25,0.17954864840673038
1,26,0.1956124686716793
1,27,0.18887464196204734
1,28,0.1935991765127098
1,29,0.2103204439670611
1,30,0.21740914786967414
2,0,0.9895998925886097
2,1,0.9691718134622334
2,2,0.9277924722520617
2,3,0.8967883995703537
2,4,0.8694403419262435
2,5,0.8558476548514138
2,6,0.8346251790189733
2,7,0.7827264590046495
2,8,0.7789534103114903
2,9,0.7564200680272108
2,10,0.6932507608306452
2,11,0.6729956587898307
2,12,0.6587367973505215
2,13,0.6438070622986022
2,14,0.6580198263515936
2,15,0.635076754385963
2,16,0.5841677855352654
2,17,0.5308624239169341
2,18,0.49039339419978784
2,19,0.45219947189401977
2,20,0.4072811493018261
2,21,0.3688106426781248
2,22,0.37105643573218466
2,23,0.3489959273182943
2,24,0.341349803079128
2,25,0.3332227891156461
2,26,0.3144589151450051
2,27,0.30929712674543747
2,28,0.30203141783028936
2,29,0.3269839778016471
2,30,0.29041979949874663
3,0,0.989577515216613
3,1,0.9733335571070554
3,2,0.9252445846759836
3,3,0.890639097744362
3,4,0.8693606784819183
3,5,0.8532832080200533
3,6,0.8339874239169367
3,7,0.8171444235589015
3,8,0.8000375939849629
3,9,0.7912759577515237
